SITE_TYPE,SITECODE,NAME,VARIABLE,cle,VALUE,SCORE,LABEL,DATA_SRCE
SAC,UK0016615,Eastern Mournes,Mean CLe exceedance,1,0.179096403427476,1,Low,2017 Ammonia Concentrations
SSSI,ASSI355,Glenariff Glen,Mean CLe exceedance,1,0.090907276995305,1,Low,2017 Ammonia Concentrations
SSSI,ASSI026,Cleggan Valley,Mean CLe exceedance,1,0.699171107491856,1,Low,2017 Ammonia Concentrations
SSSI,ASSI025,Glenariff,Mean CLe exceedance,1,0.169575636531365,1,Low,2017 Ammonia Concentrations
SSSI,ASSI024,Glen Burn,Mean CLe exceedance,1,1.16227614014252,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI408,Cranny Falls,Mean CLe exceedance,1,0.51312,1,Low,2017 Ammonia Concentrations
SSSI,ASSI023,Glenarm Woods,Mean CLe exceedance,1,0.654189525282313,1,Low,2017 Ammonia Concentrations
SSSI,ASSI333,Galboly,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI379,Mournes Coast,Mean CLe exceedance,1,0.477998328206341,1,Low,2017 Ammonia Concentrations
SSSI,ASSI406,Belvoir,Mean CLe exceedance,1,0.924021748305905,1,Low,2017 Ammonia Concentrations
SSSI,ASSI162,Straidkilly Wood,Mean CLe exceedance,1,0.617241947803947,1,Low,2017 Ammonia Concentrations
SAC,UK0016612,Murlough,Mean CLe exceedance,1,0.200064649618499,1,Low,2017 Ammonia Concentrations
SSSI,ASSI089,Murlough,Mean CLe exceedance,1,0.691159382185169,1,Low,2017 Ammonia Concentrations
SSSI,ASSI150,Ballybannan,Mean CLe exceedance,1,1.28606,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI104,Outer Belfast Lough,Mean CLe exceedance,1,0.845901934295364,1,Low,2017 Ammonia Concentrations
SSSI,ASSI391,Knock Dhu Sallagh Braes,Mean CLe exceedance,1,0.519041265375556,1,Low,2017 Ammonia Concentrations
SSSI,ASSI323,Little Deer Park,Mean CLe exceedance,1,0.431138926348548,1,Low,2017 Ammonia Concentrations
SSSI,ASSI344,South Woodburn,Mean CLe exceedance,1,0.742211276129032,1,Low,2017 Ammonia Concentrations
SSSI,ASSI343,North Woodburn Reservoir,Mean CLe exceedance,1,0.908404153846154,1,Low,2017 Ammonia Concentrations
SSSI,ASSI022,North Woodburn Glen,Mean CLe exceedance,1,0.809785350318471,1,Low,2017 Ammonia Concentrations
SSSI,ASSI164,Craigantlet Woods,Mean CLe exceedance,1,1.25501186567164,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI399,Ballygalley Head,Mean CLe exceedance,1,0.31397,1,Low,2017 Ammonia Concentrations
SSSI,ASSI155,Corbally,Mean CLe exceedance,1,1.79084631991636,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030180,Lecale Fens,Mean CLe exceedance,1,1.41980970171149,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI153,Ballykilbeg,Mean CLe exceedance,1,1.24074017605634,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030319,Ballykilbeg,Mean CLe exceedance,1,1.24074017605634,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI358,Tyrella and Minerstown,Mean CLe exceedance,1,0.697813778994964,1,Low,2017 Ammonia Concentrations
SSSI,ASSI211,Hollymount,Mean CLe exceedance,1,0.732528468161794,1,Low,2017 Ammonia Concentrations
SAC,UK0030169,Hollymount,Mean CLe exceedance,1,0.732529679551372,1,Low,2017 Ammonia Concentrations
SSSI,ASSI149,Aughnadarragh Lough,Mean CLe exceedance,1,1.45129887675507,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030318,Aughnadarragh Lough,Mean CLe exceedance,1,1.45129887675507,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI106,Larne Lough,Mean CLe exceedance,1,0.770549719498635,1,Low,2017 Ammonia Concentrations
SSSI,ASSI345,Copeland Reservoir,Mean CLe exceedance,1,0.603891478599222,1,Low,2017 Ammonia Concentrations
SSSI,ASSI241,Newlands,Mean CLe exceedance,1,1.31705236641221,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI170,Quoile,Mean CLe exceedance,1,0.741169630861324,1,Low,2017 Ammonia Concentrations
SSSI,ASSI148,Turmennan,Mean CLe exceedance,1,2.47687243425489,3,High,2017 Ammonia Concentrations
SAC,UK0030291,Turmennan,Mean CLe exceedance,1,2.47677570754717,3,High,2017 Ammonia Concentrations
SSSI,ASSI006,Strangford Lough Part 1,Mean CLe exceedance,1,0.420347153249911,1,Low,2017 Ammonia Concentrations
SAC,UK0016618,Strangford Lough,Mean CLe exceedance,1,0.439920706382591,1,Low,2017 Ammonia Concentrations
SSSI,ASSI034,Strangford Lough Part 3,Mean CLe exceedance,1,0.521755478245675,1,Low,2017 Ammonia Concentrations
SSSI,ASSI105,Outer Ards,Mean CLe exceedance,1,0.812068317190958,1,Low,2017 Ammonia Concentrations
SSSI,ASSI386,St. John's Point,Mean CLe exceedance,1,0.106231214972814,1,Low,2017 Ammonia Concentrations
SSSI,ASSI032,Strangford Lough Part 2,Mean CLe exceedance,1,0.662827162367223,1,Low,2017 Ammonia Concentrations
SSSI,ASSI132,Heron and Carrigullian Loughs,Mean CLe exceedance,1,0.889128678469019,1,Low,2017 Ammonia Concentrations
SSSI,ASSI151,Ballycam,Mean CLe exceedance,1,0.21828,1,Low,2017 Ammonia Concentrations
SSSI,ASSI225,Killough Bay and Strand Lough,Mean CLe exceedance,1,0.559612508960573,1,Low,2017 Ammonia Concentrations
SSSI,ASSI193,Castletown,Mean CLe exceedance,1,0.736464545454545,1,Low,2017 Ammonia Concentrations
SSSI,ASSI152,Ballynagross Lower,Mean CLe exceedance,1,1.05639,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI159,Loughmoney,Mean CLe exceedance,1,0.86739,1,Low,2017 Ammonia Concentrations
SSSI,ASSI273,Sheepland Coast,Mean CLe exceedance,1,0.460104306408053,1,Low,2017 Ammonia Concentrations
SSSI,ASSI039,Loughkeelan,Mean CLe exceedance,1,1.48012205479452,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI156,Carrowcarlin,Mean CLe exceedance,1,0.887781992337164,1,Low,2017 Ammonia Concentrations
SSSI,ASSI321,Tullyratty,Mean CLe exceedance,1,0.900092516556291,1,Low,2017 Ammonia Concentrations
SSSI,ASSI336,Blaeberry Island Bog,Mean CLe exceedance,1,1.53837455804481,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI086,Killard,Mean CLe exceedance,1,0.468448424864212,1,Low,2017 Ammonia Concentrations
SSSI,ASSI354,Lough Cowey,Mean CLe exceedance,1,0.718260335436732,1,Low,2017 Ammonia Concentrations
SSSI,ASSI087,Ballyquintin Point,Mean CLe exceedance,1,0.276110064935065,1,Low,2017 Ammonia Concentrations
SSSI,ASSI140,Lough Melvin,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030047,Lough Melvin,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI017,Garvros,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI018,Moneendogue,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI020,Drumlisaleen,Maximum CLe exceedance,1,0.16844,1,Low,2017 Ammonia Concentrations
SSSI,ASSI403,Rushy Hill,Maximum CLe exceedance,1,0.09809,1,Low,2017 Ammonia Concentrations
SSSI,ASSI297,Knocknashangan,Maximum CLe exceedance,1,0.0458699999999999,1,Low,2017 Ammonia Concentrations
SSSI,ASSI299,Ross,Maximum CLe exceedance,1,0.0793999999999999,1,Low,2017 Ammonia Concentrations
SSSI,ASSI400,Frevagh,Maximum CLe exceedance,1,0.0793999999999999,1,Low,2017 Ammonia Concentrations
SSSI,ASSI332,Tower More,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI353,Lough Anierin,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI190,Tullysranadeega,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI019,Lergan,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI065,Pettigoe Plateau,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0016607,Pettigoe Plateau,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI402,Drumcully,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI385,Stranacally,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI331,Glen East,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI271,Big Dog Scarps and Lakes,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI270,Lough Navar Scarps and Lakes,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI359,Lough Naman Bog and Lake,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI168,Glennasheevar,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI191,The Cliffs of Magho,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI380,Lough Formal,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI201,West Fermanagh Scarplands,Maximum CLe exceedance,1,0.20813,1,Low,2017 Ammonia Concentrations
SAC,UK0030300,West Fermanagh Scarplands,Maximum CLe exceedance,1,0.20813,1,Low,2017 Ammonia Concentrations
SSSI,ASSI393,Lough Alaban,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI111,Largalinny,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030045,Largalinny,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI375,Marlbank,Maximum CLe exceedance,1,0.54266,1,Low,2017 Ammonia Concentrations
SSSI,ASSI069,Cuilcagh Mountain,Maximum CLe exceedance,1,0.17992,1,Low,2017 Ammonia Concentrations
SAC,UK0016603,Cuilcagh Mountain,Maximum CLe exceedance,1,0.17992,1,Low,2017 Ammonia Concentrations
SSSI,ASSI207,Kilnameel,Maximum CLe exceedance,1,0.26875,1,Low,2017 Ammonia Concentrations
SSSI,ASSI013,Monawilkin,Maximum CLe exceedance,1,0.47441,1,Low,2017 Ammonia Concentrations
SAC,UK0016619,Monawilkin,Maximum CLe exceedance,1,0.47441,1,Low,2017 Ammonia Concentrations
SSSI,ASSI357,Killeter Forest and Bogs and Lakes,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI324,Keadew,Maximum CLe exceedance,1,0.21954,1,Low,2017 Ammonia Concentrations
SSSI,ASSI298,Blackslee,Maximum CLe exceedance,1,0.3055,1,Low,2017 Ammonia Concentrations
SSSI,ASSI322,Drumbegger,Maximum CLe exceedance,1,0.20813,1,Low,2017 Ammonia Concentrations
SSSI,ASSI016,Beagh Big,Maximum CLe exceedance,1,0.72256,1,Low,2017 Ammonia Concentrations
SSSI,ASSI263,Cruninish Island,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI134,Essan Burn and Mullyfamore,Maximum CLe exceedance,1,0.09795,1,Low,2017 Ammonia Concentrations
SSSI,ASSI378,Croagh Bog,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI376,Florence Court,Maximum CLe exceedance,1,0.48505,1,Low,2017 Ammonia Concentrations
SSSI,ASSI264,Hare Island,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI070,Tattenamona Bog,Maximum CLe exceedance,1,0.78171,1,Low,2017 Ammonia Concentrations
SSSI,ASSI269,Devenish Island,Maximum CLe exceedance,1,0.51032,1,Low,2017 Ammonia Concentrations
SAC,UK0016614,Upper Lough Erne,Maximum CLe exceedance,1,2.2767,3,High,2017 Ammonia Concentrations
SSSI,ASSI300,Scraghy,Maximum CLe exceedance,1,0.0323599999999999,1,Low,2017 Ammonia Concentrations
SSSI,ASSI093,Upper Lough Erne - Belleisle,Maximum CLe exceedance,1,0.981,1,Low,2017 Ammonia Concentrations
SSSI,ASSI166,Knockninny Hill,Maximum CLe exceedance,1,1.03833,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI048,Corraslough Point,Maximum CLe exceedance,1,0.46468,1,Low,2017 Ammonia Concentrations
SSSI,ASSI094,Upper Lough Erne - Trannish,Maximum CLe exceedance,1,2.2767,3,High,2017 Ammonia Concentrations
SSSI,ASSI350,Castlecoole,Maximum CLe exceedance,1,1.12331,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI015,Moninea Bog,Maximum CLe exceedance,1,6.21532,4,Very High,2017 Ammonia Concentrations
SAC,UK0030212,Moninea Bog,Maximum CLe exceedance,1,6.21532,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI005,Moneygal Bog,Maximum CLe exceedance,1,1.36943,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI209,Moneygal Bog Part II,Maximum CLe exceedance,1,1.36943,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030211,Moneygal Bog,Maximum CLe exceedance,1,1.36943,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI071,Upper Lough Erne - Crom,Maximum CLe exceedance,1,1.09832,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI054,Inishroosk,Maximum CLe exceedance,1,1.00543,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI276,Sloughan and Willmount Glens,Maximum CLe exceedance,1,0.28023,1,Low,2017 Ammonia Concentrations
SSSI,ASSI401,Drumowen,Maximum CLe exceedance,1,0.11545,1,Low,2017 Ammonia Concentrations
SSSI,ASSI294,Lough Corr,Maximum CLe exceedance,1,0.29591,1,Low,2017 Ammonia Concentrations
SSSI,ASSI364,Tempo River,Maximum CLe exceedance,1,1.90563,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI274,Dunaree Hill,Maximum CLe exceedance,1,0.33728,1,Low,2017 Ammonia Concentrations
SSSI,ASSI008,Fairy Water Bogs,Maximum CLe exceedance,1,1.52595,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016611,Fairy Water Bogs,Maximum CLe exceedance,1,1.52595,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI275,Kirlish,Maximum CLe exceedance,1,1.14319,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI090,Upper Lough Erne - Galloon,Maximum CLe exceedance,1,1.76038,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI349,Baronscourt,Maximum CLe exceedance,1,0.95923,1,Low,2017 Ammonia Concentrations
SSSI,ASSI058,Strabane Glen,Maximum CLe exceedance,1,2.32941,3,High,2017 Ammonia Concentrations
SSSI,ASSI128,McKean's Moss,Maximum CLe exceedance,1,1.73301,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI165,McKean's Moss Part II,Maximum CLe exceedance,1,1.73301,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI129,Tonnagh Beg Bog,Maximum CLe exceedance,1,2.22742,3,High,2017 Ammonia Concentrations
SAC,UK0030325,Tonnagh Beg Bog,Maximum CLe exceedance,1,2.22742,3,High,2017 Ammonia Concentrations
SSSI,ASSI124,Cranny Bogs,Maximum CLe exceedance,1,3.13966,4,Very High,2017 Ammonia Concentrations
SAC,UK0030321,Cranny Bogs,Maximum CLe exceedance,1,3.13966,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI110,Finn Floods,Maximum CLe exceedance,1,2.36854,3,High,2017 Ammonia Concentrations
SSSI,ASSI268,Round Lough and Lough Fadda,Maximum CLe exceedance,1,2.15952,3,High,2017 Ammonia Concentrations
SSSI,ASSI130,Tully Bog,Maximum CLe exceedance,1,2.06719,3,High,2017 Ammonia Concentrations
SAC,UK0030326,Tully Bog,Maximum CLe exceedance,1,2.06719,3,High,2017 Ammonia Concentrations
SSSI,ASSI196,Grange Wood,Maximum CLe exceedance,1,1.45042,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI213,Owenkillew River,Maximum CLe exceedance,1,1.5725,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030233,Owenkillew River,Maximum CLe exceedance,1,1.5725,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI014,Knockballymore Lough,Maximum CLe exceedance,1,1.97129,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016621,Magheraveely Marl Loughs,Maximum CLe exceedance,1,4.61939,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI081,Burdautien Lough,Maximum CLe exceedance,1,3.29135,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI078,Kilroosky Lough,Maximum CLe exceedance,1,3.29135,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI080,Summerhill Lough,Maximum CLe exceedance,1,2.0394,3,High,2017 Ammonia Concentrations
SSSI,ASSI223,Cullentra Lough,Maximum CLe exceedance,1,2.21342,3,High,2017 Ammonia Concentrations
SSSI,ASSI197,Corbylin Wood,Maximum CLe exceedance,1,1.39988,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI062,Owenkillew and Glenelly Woods,Maximum CLe exceedance,1,1.2617,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI077,Slieve Beagh,Maximum CLe exceedance,1,1.10497,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016622,Slieve Beagh,Maximum CLe exceedance,1,1.10497,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI195,Silverbrook Wood,Maximum CLe exceedance,1,1.21711,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI121,Annachullion Lough,Maximum CLe exceedance,1,4.24391,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI309,Mullaghcarn,Maximum CLe exceedance,1,1.02384,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI296,River Faughan and Tributaries,Maximum CLe exceedance,1,1.42361,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030361,River Faughan and Tributaries,Maximum CLe exceedance,1,1.42361,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI122,Drumacrittin Lough,Maximum CLe exceedance,1,4.61939,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI392,Cloghcor Lough,Maximum CLe exceedance,1,1.98634,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI308,Annaghagh Bog,Maximum CLe exceedance,1,2.6253,3,High,2017 Ammonia Concentrations
SSSI,ASSI227,Bonds Glen,Maximum CLe exceedance,1,0.97183,1,Low,2017 Ammonia Concentrations
SSSI,ASSI261,Lough McCall,Maximum CLe exceedance,1,1.12975,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI035,Deroran Bog,Maximum CLe exceedance,1,1.4885,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030324,Deroran Bog,Maximum CLe exceedance,1,1.4885,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI051,Lough Foyle,Maximum CLe exceedance,1,0.83638,1,Low,2017 Ammonia Concentrations
SSSI,ASSI061,Ervey Wood,Maximum CLe exceedance,1,0.74622,1,Low,2017 Ammonia Concentrations
SSSI,ASSI398,Cavan,Maximum CLe exceedance,1,0.95055,1,Low,2017 Ammonia Concentrations
SSSI,ASSI056,Drumlea and Mullan Woods,Maximum CLe exceedance,1,0.73187,1,Low,2017 Ammonia Concentrations
SSSI,ASSI060,Ness Wood,Maximum CLe exceedance,1,0.65858,1,Low,2017 Ammonia Concentrations
SSSI,ASSI262,Lough na blaney bane,Maximum CLe exceedance,1,0.95055,1,Low,2017 Ammonia Concentrations
SSSI,ASSI237,Derrycloony Lough,Maximum CLe exceedance,1,2.21573,3,High,2017 Ammonia Concentrations
SSSI,ASSI397,Roeveagh,Maximum CLe exceedance,1,1.16279,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI224,Fymore Lough,Maximum CLe exceedance,1,2.21573,3,High,2017 Ammonia Concentrations
SSSI,ASSI348,Lough Macrory,Maximum CLe exceedance,1,0.96434,1,Low,2017 Ammonia Concentrations
SSSI,ASSI007,Black Bog,Maximum CLe exceedance,1,0.53356,1,Low,2017 Ammonia Concentrations
SAC,UK0016609,Black Bog,Maximum CLe exceedance,1,0.53356,1,Low,2017 Ammonia Concentrations
SSSI,ASSI057,Glenmore Wood,Maximum CLe exceedance,1,2.48922,3,High,2017 Ammonia Concentrations
SAC,UK0030360,River Roe and Tributaries,Maximum CLe exceedance,1,1.62353,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030296,Upper Ballinderry River,Maximum CLe exceedance,1,5.37014,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI407,Lough Lark,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI059,Altmover Glen,Maximum CLe exceedance,1,1.22019,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI239,Black Lough (Tyrone),Maximum CLe exceedance,1,2.58645,3,High,2017 Ammonia Concentrations
SSSI,ASSI064,Banagher Glen,Maximum CLe exceedance,1,0.74209,1,Low,2017 Ammonia Concentrations
SAC,UK0030083,Banagher Glen,Maximum CLe exceedance,1,0.74209,1,Low,2017 Ammonia Concentrations
SSSI,ASSI068,Magilligan,Maximum CLe exceedance,1,0.13736,1,Low,2017 Ammonia Concentrations
SAC,UK0016613,Magilligan,Maximum CLe exceedance,1,0.13736,1,Low,2017 Ammonia Concentrations
SSSI,ASSI146,Tullybrick Lough,Maximum CLe exceedance,1,6.77511,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI342,Caledon and Tynan,Maximum CLe exceedance,1,44.89256,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI055,Crockaghole Wood,Maximum CLe exceedance,1,0.36948,1,Low,2017 Ammonia Concentrations
SSSI,ASSI011,Teal Lough and Slaghtfreeden Bogs,Maximum CLe exceedance,1,0.31243,1,Low,2017 Ammonia Concentrations
SSSI,ASSI228,Aghanloo Wood,Maximum CLe exceedance,1,0.50164,1,Low,2017 Ammonia Concentrations
SSSI,ASSI212,Binevenagh,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030089,Binevenagh,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI031,Kiltubbrid Loughs,Maximum CLe exceedance,1,5.07075,4,Very High,2017 Ammonia Concentrations
SAC,UK0016608,Teal Lough,Maximum CLe exceedance,1,0.21835,1,Low,2017 Ammonia Concentrations
SSSI,ASSI088,Teal Lough Part II,Maximum CLe exceedance,1,0.21835,1,Low,2017 Ammonia Concentrations
SSSI,ASSI307,Knocknacloy,Maximum CLe exceedance,1,4.25189,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI266,Ballyrisk More,Maximum CLe exceedance,1,0.71262,1,Low,2017 Ammonia Concentrations
SSSI,ASSI182,Drumcarn,Maximum CLe exceedance,1,2.74927,3,High,2017 Ammonia Concentrations
SSSI,ASSI183,Crossbane Lough,Maximum CLe exceedance,1,2.6988,3,High,2017 Ammonia Concentrations
SSSI,ASSI167,Carn/Glenshane Pass,Maximum CLe exceedance,1,0.40028,1,Low,2017 Ammonia Concentrations
SAC,UK0030110,Carn  Glenshane Pass,Maximum CLe exceedance,1,0.40028,1,Low,2017 Ammonia Concentrations
SSSI,ASSI371,Gortcorbies,Maximum CLe exceedance,1,0.35863,1,Low,2017 Ammonia Concentrations
SSSI,ASSI171,Altikeeragh,Maximum CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI179,Straghans Lough,Maximum CLe exceedance,1,2.62453,3,High,2017 Ammonia Concentrations
SSSI,ASSI257,Ballymacallion,Maximum CLe exceedance,1,0.49583,1,Low,2017 Ammonia Concentrations
SSSI,ASSI259,Castle River Valley,Maximum CLe exceedance,1,0.86634,1,Low,2017 Ammonia Concentrations
SSSI,ASSI258,Smulgedon,Maximum CLe exceedance,1,0.41505,1,Low,2017 Ammonia Concentrations
SSSI,ASSI267,Coolnasillagh,Maximum CLe exceedance,1,0.10432,1,Low,2017 Ammonia Concentrations
SSSI,ASSI208,Bann Estuary,Maximum CLe exceedance,1,0.91338,1,Low,2017 Ammonia Concentrations
SAC,UK0030084,Bann Estuary,Maximum CLe exceedance,1,0.91338,1,Low,2017 Ammonia Concentrations
SSSI,ASSI410,Knockadoo Wood,Maximum CLe exceedance,1,3.01884,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI216,Tullyard,Maximum CLe exceedance,1,2.67808,3,High,2017 Ammonia Concentrations
SSSI,ASSI194,Ballyknock,Maximum CLe exceedance,1,1.36257,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI205,Drumlougher Lough,Maximum CLe exceedance,1,2.31975,3,High,2017 Ammonia Concentrations
SSSI,ASSI256,Errigal Glen,Maximum CLe exceedance,1,0.62834,1,Low,2017 Ammonia Concentrations
SSSI,ASSI240,Drumcrow,Maximum CLe exceedance,1,2.6148,3,High,2017 Ammonia Concentrations
SSSI,ASSI010,Ballynahone Bog,Maximum CLe exceedance,1,1.58153,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016599,Ballynahone Bog,Maximum CLe exceedance,1,1.58153,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI038,Annacramph Meadows,Maximum CLe exceedance,1,3.13483,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI415,Tamnyrankin,Maximum CLe exceedance,1,0.89665,1,Low,2017 Ammonia Concentrations
SSSI,ASSI210,Peatlands Park,Maximum CLe exceedance,1,2.05557,3,High,2017 Ammonia Concentrations
SAC,UK0030236,Peatlands Park,Maximum CLe exceedance,1,2.05557,3,High,2017 Ammonia Concentrations
SSSI,ASSI074,Curran Bog,Maximum CLe exceedance,1,1.996,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030322,Curran Bog,Maximum CLe exceedance,1,1.996,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI204,Lurgan Lough,Maximum CLe exceedance,1,2.27586,3,High,2017 Ammonia Concentrations
SSSI,ASSI030,Lough Neagh,Maximum CLe exceedance,1,3.51374,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI206,Loughaveely,Maximum CLe exceedance,1,2.12326,3,High,2017 Ammonia Concentrations
SSSI,ASSI189,Cashel Loughs,Maximum CLe exceedance,1,1.64271,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI180,Moyrourkan Lough,Maximum CLe exceedance,1,2.80814,3,High,2017 Ammonia Concentrations
SSSI,ASSI125,Dead Island Bog,Maximum CLe exceedance,1,1.62787,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030323,Dead Island Bog,Maximum CLe exceedance,1,1.62787,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI131,Wolf Island Bog,Maximum CLe exceedance,1,1.67015,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030303,Wolf Island Bog,Maximum CLe exceedance,1,1.67015,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI214,Levallymore,Maximum CLe exceedance,1,1.94616,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI222,Selshion,Maximum CLe exceedance,1,2.12697,3,High,2017 Ammonia Concentrations
SSSI,ASSI305,Moneystaghan Bog,Maximum CLe exceedance,1,1.5669,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI215,Carrickastickan,Maximum CLe exceedance,1,1.56452,2,Moderate,2017 Ammonia Concentrations
